latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
42.17478,-6.95115,308.3,0.47,0.64,2019-01-01,0127,N,VIIRS,n,1,274.5,4.7,0
42.17513,-6.96292,310.6,0.47,0.64,2019-01-01,0127,N,VIIRS,n,1,275,8.8,0
42.17495,-6.95688,338.1,0.47,0.64,2019-01-01,0127,N,VIIRS,n,1,275,4.7,0
42.18076,-6.95133,319.7,0.47,0.64,2019-01-01,0127,N,VIIRS,n,1,275.3,4.7,0
42.18131,-6.97027,308.1,0.47,0.64,2019-01-01,0127,N,VIIRS,n,1,277.1,8.8,0
42.18093,-6.95706,327.5,0.47,0.64,2019-01-01,0127,N,VIIRS,n,1,275.4,4.7,0
42.18111,-6.96338,367,0.47,0.64,2019-01-01,0127,N,VIIRS,h,1,282.1,8.8,0
41.97219,2.62038,328.8,0.48,0.4,2019-01-01,0127,N,VIIRS,n,1,278.3,2.9,0
42.57661,-3.0845,339.4,0.59,0.53,2019-01-01,0127,N,VIIRS,n,1,275.4,12,0
43.13491,-6.37927,300.8,0.44,0.62,2019-01-01,0127,N,VIIRS,n,1,275.7,0.6,0
43.30072,-6.74846,304,0.46,0.64,2019-01-01,0127,N,VIIRS,n,1,278.5,1.8,0
43.16404,-3.61842,299.5,0.32,0.55,2019-01-01,0127,N,VIIRS,n,1,274.9,0.6,0
43.30359,-6.74288,337.9,0.46,0.64,2019-01-01,0127,N,VIIRS,n,1,278.9,3.8,0
43.52905,-5.7361,335,0.41,0.61,2019-01-01,0127,N,VIIRS,n,1,276.7,6.7,2
43.52887,-5.73139,367,0.41,0.61,2019-01-01,0127,N,VIIRS,h,1,279.6,6.7,2
43.5234,-5.73713,325.5,0.41,0.61,2019-01-01,0127,N,VIIRS,n,1,278,6.7,2
43.30373,-6.74719,297.8,0.46,0.64,2019-01-01,0127,N,VIIRS,n,1,278.5,3.2,0
43.5232,-5.73191,354.9,0.41,0.61,2019-01-01,0127,N,VIIRS,n,1,277.1,6.7,2
43.30651,-6.74185,300.9,0.46,0.64,2019-01-01,0127,N,VIIRS,n,1,278.2,1.8,0
43.30061,-6.74415,328.5,0.46,0.64,2019-01-01,0127,N,VIIRS,n,1,276.9,1.8,0
42.18497,-6.96269,367,0.47,0.64,2019-01-01,0128,N,VIIRS,h,1,279.9,8.4,0
39.62484,-5.4181,306.5,0.37,0.58,2019-01-01,0128,N,VIIRS,n,1,276.6,0.7,0
40.22869,-3.99364,295.7,0.63,0.54,2019-01-01,0128,N,VIIRS,n,1,272.3,1.2,0
40.49879,-4.41992,295.9,0.33,0.56,2019-01-01,0128,N,VIIRS,n,1,273.1,0.3,0
41.19225,-4.43649,309.7,0.34,0.56,2019-01-01,0128,N,VIIRS,n,1,269.4,1.1,0
41.75875,-8.29649,312.1,0.54,0.68,2019-01-01,0128,N,VIIRS,n,1,277.9,2.8,0
41.3118,1.66167,303.9,0.51,0.41,2019-01-01,0128,N,VIIRS,n,1,279,1.6,2
42.08726,-6.89477,336.4,0.46,0.64,2019-01-01,0128,N,VIIRS,n,1,276.4,8.9,0
42.08748,-6.90188,367,0.46,0.64,2019-01-01,0128,N,VIIRS,h,1,279.6,14,0
42.09304,-6.88897,312.1,0.46,0.64,2019-01-01,0128,N,VIIRS,n,1,275.1,3.6,0
42.09323,-6.89518,342.7,0.46,0.64,2019-01-01,0128,N,VIIRS,n,1,276.9,3.6,0
42.09346,-6.90286,346.1,0.46,0.64,2019-01-01,0128,N,VIIRS,n,1,279.8,9.3,0
42.09877,-6.88205,295.4,0.46,0.64,2019-01-01,0128,N,VIIRS,n,1,276.1,2.4,0
42.09896,-6.88807,297.2,0.46,0.64,2019-01-01,0128,N,VIIRS,n,1,274.9,3.6,0
42.17258,-6.95025,296.6,0.47,0.64,2019-01-01,0128,N,VIIRS,n,1,274,1.5,0
42.17298,-6.96177,316.1,0.47,0.64,2019-01-01,0128,N,VIIRS,n,1,274.6,3.4,0
42.17278,-6.95596,334.8,0.47,0.64,2019-01-01,0128,N,VIIRS,n,1,274.7,3.4,0
42.17856,-6.95026,312.5,0.47,0.64,2019-01-01,0128,N,VIIRS,n,1,274.9,2.7,0
42.1792,-6.96895,313.3,0.47,0.64,2019-01-01,0128,N,VIIRS,n,1,276.5,11.3,0
42.17876,-6.95594,322.8,0.47,0.64,2019-01-01,0128,N,VIIRS,n,1,274,8.4,0
42.17897,-6.96203,367,0.47,0.64,2019-01-01,0128,N,VIIRS,h,1,277,8.4,0
36.96646,-1.90598,304.9,0.45,0.47,2019-01-01,0129,N,VIIRS,n,1,281,1.6,3
37.57016,-0.91588,296.7,0.41,0.45,2019-01-01,0129,N,VIIRS,n,1,280.2,0.5,2
43.16283,-3.10366,300.1,0.44,0.62,2019-01-01,0307,N,VIIRS,n,1,272.4,0.4,0
43.16837,-3.1011,300,0.44,0.62,2019-01-01,0307,N,VIIRS,n,1,272.5,0.4,0
43.13234,-6.37424,330.5,0.62,0.54,2019-01-01,0308,N,VIIRS,n,1,276.7,4.1,0
43.30564,-6.7437,311.8,0.59,0.53,2019-01-01,0308,N,VIIRS,n,1,275.3,2.9,0
42.57354,-3.08413,295.8,0.46,0.64,2019-01-01,0308,N,VIIRS,n,1,272.5,2.4,0
