latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
43.52473,-5.73595,343.7,0.49,0.65,2015-01-01,0128,N,VIIRS,n,1,278.2,7.7,2
43.55324,-5.90172,296.4,0.5,0.66,2015-01-01,0128,N,VIIRS,n,1,273.2,0.9,2
43.55339,-5.90822,309.4,0.5,0.66,2015-01-01,0128,N,VIIRS,n,1,274.3,0.9,2
43.55778,-5.90322,298,0.5,0.66,2015-01-01,0128,N,VIIRS,n,1,273.7,0.7,2
42.16393,-6.92449,307,0.56,0.69,2015-01-01,0128,N,VIIRS,n,1,270.2,2.5,0
42.16404,-6.93157,317.9,0.56,0.69,2015-01-01,0128,N,VIIRS,n,1,271.1,2.5,0
43.27151,-2.95205,298.6,0.36,0.57,2015-01-01,0128,N,VIIRS,n,1,273.7,0.6,0
43.40971,-3.83971,297.1,0.4,0.6,2015-01-01,0128,N,VIIRS,n,1,274,0.7,2
43.52459,-5.72987,315.4,0.49,0.65,2015-01-01,0128,N,VIIRS,n,1,275.2,4.3,2
40.37864,-4.21053,295.2,0.39,0.6,2015-01-01,0129,N,VIIRS,n,1,274.5,0.6,0
40.2718,-5.67605,348.9,0.47,0.64,2015-01-01,0129,N,VIIRS,n,1,279.9,5.5,0
39.76661,-2.46104,299.7,0.63,0.54,2015-01-01,0129,N,VIIRS,n,1,266.4,1.3,0
39.6258,-5.41886,301.7,0.45,0.63,2015-01-01,0129,N,VIIRS,n,1,273.4,0.6,0
38.37731,-0.54486,297.2,0.48,0.48,2015-01-01,0129,N,VIIRS,n,1,276.8,0.6,2
40.7378,-3.58083,305.6,0.37,0.58,2015-01-01,0129,N,VIIRS,n,1,272.2,1,0
36.61838,-6.07536,295.1,0.46,0.64,2015-01-01,0130,N,VIIRS,n,1,275.9,0.6,2
40.27394,-5.67927,351.2,0.34,0.56,2015-01-01,0309,N,VIIRS,n,1,299,25.7,0
40.27276,-5.67474,367,0.34,0.56,2015-01-01,0309,N,VIIRS,h,1,281.7,7.5,0
40.27168,-5.67062,331.6,0.34,0.56,2015-01-01,0309,N,VIIRS,n,1,277.1,7.5,0
40.26839,-5.67904,298.5,0.34,0.56,2015-01-01,0309,N,VIIRS,n,1,277.4,1.2,0
42.98245,-9.08857,299.8,0.4,0.44,2015-01-01,0309,N,VIIRS,n,1,277,1.3,2
41.19476,-4.43514,305.9,0.37,0.58,2015-01-01,0309,N,VIIRS,n,1,266.7,0.9,0
41.19087,-4.43676,314.3,0.37,0.58,2015-01-01,0309,N,VIIRS,n,1,266.9,0.9,0
40.243,-4.90932,297.4,0.37,0.58,2015-01-01,0309,N,VIIRS,n,1,276,0.5,0
40.2796,-5.67998,367,0.34,0.56,2015-01-01,0309,N,VIIRS,h,1,281.2,25.7,0
40.27836,-5.67523,320.8,0.34,0.56,2015-01-01,0309,N,VIIRS,n,1,277.5,7.5,0
40.27524,-5.68428,335.1,0.34,0.56,2015-01-01,0309,N,VIIRS,n,1,279,25.7,0
43.52521,-5.73143,339.4,0.55,0.51,2015-01-01,0309,N,VIIRS,n,1,279.7,10.8,2
42.16336,-6.92794,317.7,0.52,0.5,2015-01-01,0309,N,VIIRS,n,1,271.8,2.8,0
36.18233,-5.39655,296.9,0.44,0.63,2015-01-01,0310,N,VIIRS,n,1,283.6,1.9,2
41.986,-6.97843,325.3,0.5,0.49,2015-01-01,1252,N,VIIRS,n,1,283.9,1.7,0
40.88976,-1.76037,326,0.47,0.39,2015-01-01,1252,N,VIIRS,n,1,281.3,2,0
43.52814,-5.73105,340.5,0.4,0.44,2015-01-01,1253,N,VIIRS,n,1,289.1,4.6,2
43.54047,-5.83156,326,0.41,0.45,2015-01-01,1253,N,VIIRS,n,1,288,2.7,2
43.55518,-5.90258,325,0.41,0.45,2015-01-01,1253,N,VIIRS,n,1,288.1,2.7,2
