latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
42.81426,-1.74334,305.8,0.4,0.37,2018-01-01,0211,N,VIIRS,n,1,275.4,1,2
43.55645,-5.90597,309.4,0.41,0.37,2018-01-01,0211,N,VIIRS,n,1,283.1,1.4,2
43.32931,-5.77379,299.6,0.41,0.37,2018-01-01,0211,N,VIIRS,n,1,277.9,0.7,2
41.31247,1.66263,307.8,0.53,0.42,2018-01-01,0211,N,VIIRS,n,1,282,1.6,2
41.40529,1.99595,295.5,0.54,0.42,2018-01-01,0211,N,VIIRS,n,1,280.3,0.4,2
43.52638,-5.73562,330.9,0.41,0.37,2018-01-01,0211,N,VIIRS,n,1,285.2,19.8,2
43.52909,-5.72977,296.7,0.41,0.37,2018-01-01,0211,N,VIIRS,n,1,279.4,0.7,2
43.55577,-5.9009,312.9,0.41,0.37,2018-01-01,0211,N,VIIRS,n,1,281.4,1,2
43.52299,-5.73654,344.5,0.41,0.37,2018-01-01,0211,N,VIIRS,n,1,281.8,19.8,2
39.61029,-5.50438,299.3,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,274.2,0.5,0
39.62367,-5.41924,295,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,274.8,0.5,0
39.62697,-5.41841,295,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,274.8,0.5,0
41.19223,-4.43543,321.4,0.38,0.36,2018-01-01,0212,N,VIIRS,n,1,272.7,1.5,0
41.19294,-4.43998,301.7,0.38,0.36,2018-01-01,0212,N,VIIRS,n,1,272.3,1.7,0
40.7395,-3.58199,327.6,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,275.7,3.3,0
39.95253,-0.00349,298.9,0.48,0.4,2018-01-01,0212,N,VIIRS,n,1,285.6,1.2,2
39.94893,-0.0047,306.7,0.48,0.4,2018-01-01,0212,N,VIIRS,n,1,281.8,1.2,2
40.41692,-4.19852,295.6,0.38,0.36,2018-01-01,0212,N,VIIRS,n,1,272.8,0.4,0
40.24496,-3.47397,325.1,0.39,0.36,2018-01-01,0212,N,VIIRS,n,1,279.1,2.8,2
41.47555,-1.48942,299.5,0.41,0.37,2018-01-01,0212,N,VIIRS,n,1,278.1,0.8,2
41.34361,-4.11966,296.5,0.38,0.36,2018-01-01,0212,N,VIIRS,n,1,272.1,0.6,0
36.72723,-3.5339,300.8,0.41,0.37,2018-01-01,0213,N,VIIRS,n,1,284.4,0.7,0
36.96645,-1.9026,307.1,0.45,0.39,2018-01-01,0213,N,VIIRS,n,1,277,1.2,3
36.6173,-6.07516,298.4,0.39,0.36,2018-01-01,0213,N,VIIRS,n,1,281.2,0.7,2
43.55615,-5.90642,296.4,0.41,0.45,2018-01-02,0152,N,VIIRS,n,1,275.4,1.1,2
41.92393,0.18081,299.1,0.39,0.36,2018-01-02,0152,N,VIIRS,n,1,278.2,0.4,2
41.40501,1.99787,304.5,0.39,0.36,2018-01-02,0153,N,VIIRS,n,1,280.6,1,2
40.24264,-3.47425,297.1,0.45,0.39,2018-01-02,0153,N,VIIRS,n,1,277.2,0.8,2
38.37493,-0.54245,298.4,0.38,0.36,2018-01-02,0153,N,VIIRS,n,1,269.6,0.4,2
40.2462,-3.47347,295.1,0.45,0.39,2018-01-02,0153,N,VIIRS,n,1,277.2,0.6,2
41.31217,1.66079,316.1,0.39,0.36,2018-01-02,0153,N,VIIRS,n,1,282.3,1.2,2
36.96682,-1.90319,314.8,0.39,0.36,2018-01-02,0154,N,VIIRS,n,1,280.8,1.6,3
36.18413,-5.39913,297.3,0.48,0.4,2018-01-02,0154,N,VIIRS,n,1,286.7,1.5,3
36.98512,-1.93056,343.5,0.41,0.37,2018-01-02,1315,N,VIIRS,n,1,302,21.6,0
38.93304,-6.3937,329.2,0.4,0.37,2018-01-02,1315,N,VIIRS,n,1,283.1,2.7,0
38.92972,-6.3928,328.5,0.4,0.37,2018-01-02,1315,N,VIIRS,n,1,287.8,3.7,0
38.93048,-6.38827,329.8,0.4,0.37,2018-01-02,1315,N,VIIRS,n,1,287.7,5.2,0
38.89352,-6.26632,350.6,0.39,0.37,2018-01-02,1315,N,VIIRS,n,1,286.9,6.5,0
38.01936,-7.30031,327,0.42,0.38,2018-01-02,1315,N,VIIRS,n,1,286.5,2.2,0
38.10929,-1.82357,327.1,0.42,0.38,2018-01-02,1315,N,VIIRS,n,1,291.9,2.1,0
37.56488,-4.15832,326.2,0.38,0.36,2018-01-02,1315,N,VIIRS,n,1,284.6,1.9,0
37.00477,-3.2713,327.1,0.39,0.36,2018-01-02,1315,N,VIIRS,n,1,291.6,1.2,0
36.37532,-5.32461,329.3,0.39,0.36,2018-01-02,1315,N,VIIRS,n,1,291.8,2.4,0
36.37603,-5.3203,329.4,0.39,0.36,2018-01-02,1315,N,VIIRS,n,1,292.9,3.1,0
40.0616,-6.67488,346.6,0.39,0.37,2018-01-02,1316,N,VIIRS,n,1,285.8,3.8,0
41.65694,0.44454,345.6,0.55,0.43,2018-01-02,1316,N,VIIRS,n,1,287.6,12.6,0
42.06607,-5.73872,327.8,0.38,0.36,2018-01-02,1316,N,VIIRS,n,1,282.6,2.9,0
43.539,-5.83313,328.4,0.39,0.36,2018-01-02,1317,N,VIIRS,n,1,284.9,3.5,2
43.54068,-5.83159,323.7,0.35,0.57,2018-01-03,0133,N,VIIRS,n,1,282.3,2.7,2
43.53541,-5.83209,296.8,0.35,0.57,2018-01-03,0133,N,VIIRS,n,1,276.1,0.5,2
43.53035,-5.72727,301.1,0.34,0.56,2018-01-03,0133,N,VIIRS,n,1,285.6,1.1,2
43.52532,-5.7322,315.9,0.34,0.56,2018-01-03,0133,N,VIIRS,n,1,286.8,1.1,2
43.5362,-5.82935,302.4,0.35,0.57,2018-01-03,0133,N,VIIRS,n,1,276.9,0.8,2
43.53057,-5.72478,298.1,0.34,0.56,2018-01-03,0133,N,VIIRS,n,1,285.5,0.9,2
43.52556,-5.72969,315.5,0.34,0.56,2018-01-03,0133,N,VIIRS,n,1,285.9,0.9,2
43.52032,-5.73028,298.1,0.34,0.56,2018-01-03,0133,N,VIIRS,n,1,285.1,0.4,2
41.47547,-1.48881,296.6,0.4,0.44,2018-01-03,0134,N,VIIRS,n,1,279.1,0.6,2
39.95029,-0.00163,315.2,0.5,0.41,2018-01-03,0134,N,VIIRS,n,1,284.9,2.8,2
40.57767,0.54354,295.4,0.48,0.4,2018-01-03,0134,N,VIIRS,n,1,284.1,0.2,2
38.37712,-0.54374,301.2,0.51,0.41,2018-01-03,0135,N,VIIRS,n,1,283.8,1.1,2
37.1794,-6.89613,296,0.35,0.57,2018-01-03,0135,N,VIIRS,n,1,284.1,1.1,2
36.96631,-1.9062,302.3,0.56,0.43,2018-01-03,0135,N,VIIRS,n,1,283.2,1.8,3
36.96767,-1.90522,300.3,0.56,0.43,2018-01-03,0135,N,VIIRS,n,1,283.5,0.9,3
36.37589,-5.32231,336.2,0.38,0.43,2018-01-03,1256,N,VIIRS,n,1,294.9,5.9,0
36.37978,-5.32363,332,0.38,0.43,2018-01-03,1256,N,VIIRS,n,1,294.2,5.9,0
37.68535,-1.18075,346.9,0.4,0.37,2018-01-03,1256,N,VIIRS,n,1,281.9,2.8,0
37.55555,-2.22627,327.3,0.42,0.38,2018-01-03,1256,N,VIIRS,n,1,286.1,1.3,0
38.20923,-1.24666,347.1,0.39,0.36,2018-01-03,1256,N,VIIRS,n,1,280.6,3.3,0
37.71247,-5.86119,326.3,0.38,0.43,2018-01-03,1256,N,VIIRS,n,1,287.8,2.6,0
41.63998,0.04731,336.4,0.39,0.36,2018-01-03,1257,N,VIIRS,n,1,289.2,3,0
42.07753,-5.75089,329.3,0.48,0.4,2018-01-03,1257,N,VIIRS,n,1,283.9,3.3,0
43.53917,-5.83334,324,0.6,0.71,2018-01-04,0114,N,VIIRS,n,1,284.2,2.7,2
43.52502,-5.7341,303.6,0.59,0.7,2018-01-04,0114,N,VIIRS,n,1,284.9,1.6,2
