latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,type
43.01882,-6.04268,298.1,0.61,0.71,2017-01-01,0115,N,VIIRS,n,1,269.8,3.4,0
40.74037,-3.58623,305.7,0.44,0.63,2017-01-01,0115,N,VIIRS,n,1,270,0.9,0
41.19054,-4.44402,329,0.5,0.65,2017-01-01,0115,N,VIIRS,n,1,267.4,3.3,0
41.3116,1.66082,303.8,0.48,0.48,2017-01-01,0115,N,VIIRS,n,1,277.1,1.3,2
42.13963,-6.85359,315.7,0.67,0.73,2017-01-01,0115,N,VIIRS,n,1,265,2,0
42.13955,-6.85623,311.8,0.67,0.73,2017-01-01,0115,N,VIIRS,n,1,264.5,2.3,0
42.29584,-6.64932,326.5,0.65,0.73,2017-01-01,0115,N,VIIRS,n,1,267.9,4.5,0
42.37827,-6.60512,313.4,0.65,0.73,2017-01-01,0115,N,VIIRS,n,1,271.6,2.6,0
42.38504,-6.59865,304.3,0.65,0.73,2017-01-01,0115,N,VIIRS,n,1,270.8,1.9,0
42.38518,-6.6207,301.5,0.65,0.73,2017-01-01,0115,N,VIIRS,n,1,270.8,2.5,0
42.38597,-6.76204,298.1,0.66,0.73,2017-01-01,0115,N,VIIRS,n,1,271,2.9,3
42.77064,-6.87133,318.1,0.67,0.74,2017-01-01,0115,N,VIIRS,n,1,272.2,4.7,0
42.77008,-6.87052,320.9,0.67,0.74,2017-01-01,0115,N,VIIRS,n,1,271.9,3.4,0
43.01876,-6.03762,317.3,0.61,0.71,2017-01-01,0115,N,VIIRS,n,1,270.1,2.9,0
42.70534,1.39377,308.6,0.51,0.49,2017-01-01,0115,N,VIIRS,n,1,270.9,1.9,0
42.70961,1.39839,305.1,0.51,0.49,2017-01-01,0115,N,VIIRS,n,1,272,1.9,0
42.70998,1.39364,295.8,0.51,0.49,2017-01-01,0115,N,VIIRS,n,1,269.7,1.9,0
43.03637,-6.54621,337,0.65,0.73,2017-01-01,0115,N,VIIRS,n,1,272.9,9.4,0
43.03647,-6.56356,339.4,0.65,0.73,2017-01-01,0115,N,VIIRS,n,1,274.1,13.4,0
42.74672,1.21641,312.3,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,269,1.9,0
42.99059,-0.96245,304.3,0.34,0.56,2017-01-01,0115,N,VIIRS,n,1,274.4,0.8,0
42.98206,-0.99742,300.4,0.34,0.56,2017-01-01,0115,N,VIIRS,n,1,271.5,1,0
42.9356,-0.63223,298.6,0.33,0.55,2017-01-01,0115,N,VIIRS,n,1,271.3,0.5,0
43.03676,-6.55673,367,0.65,0.73,2017-01-01,0115,N,VIIRS,h,1,276.1,16.8,0
42.75943,1.20612,316.1,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,272.4,4,0
42.75863,1.21773,316.1,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,267.2,2.9,0
42.75407,1.21608,298.8,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,270.6,1,0
43.02165,-6.03956,324.9,0.61,0.71,2017-01-01,0115,N,VIIRS,n,1,271.1,4.6,0
42.74485,1.21427,319.5,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,268.9,1.1,0
42.76141,1.20782,309.9,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,274.4,2.6,0
42.76048,1.21995,312.9,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,267.8,2.6,0
42.75681,1.20685,309.4,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,270.3,2.6,0
43.55646,-5.908,303.2,0.6,0.71,2017-01-01,0115,N,VIIRS,n,1,275.9,1,2
43.55266,-5.90646,300.3,0.6,0.71,2017-01-01,0115,N,VIIRS,n,1,274.5,1,2
43.52443,-5.737,338.9,0.59,0.7,2017-01-01,0115,N,VIIRS,n,1,278.2,3.8,2
42.75134,1.21712,298.7,0.52,0.5,2017-01-01,0115,N,VIIRS,n,1,271,1.9,0
43.52451,-5.74377,298.6,0.59,0.7,2017-01-01,0115,N,VIIRS,n,1,274.7,3.8,2
43.41016,-3.84369,306.1,0.48,0.64,2017-01-01,0115,N,VIIRS,n,1,275.9,0.9,2
43.40919,-3.84244,297,0.48,0.64,2017-01-01,0115,N,VIIRS,n,1,275.8,1.5,2
42.99113,-0.96222,299.6,0.34,0.56,2017-01-01,0115,N,VIIRS,n,1,274.2,0.8,0
40.16977,-5.88794,307.5,0.58,0.7,2017-01-01,0116,N,VIIRS,n,1,272.5,2.5,0
40.17033,-5.91766,299.1,0.58,0.7,2017-01-01,0116,N,VIIRS,n,1,273.3,2.3,0
40.17048,-5.92528,322.5,0.58,0.7,2017-01-01,0116,N,VIIRS,n,1,273.9,4.6,0
40.22898,-3.99571,296.1,0.46,0.64,2017-01-01,0116,N,VIIRS,n,1,270.6,1.1,0
40.17126,-5.89049,298.9,0.58,0.7,2017-01-01,0116,N,VIIRS,n,1,272.6,1.3,0
40.172,-5.92142,327.3,0.58,0.7,2017-01-01,0116,N,VIIRS,n,1,275.1,3.5,0
42.762,1.22151,327.1,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,269.8,2.6,0
43.52905,-5.72821,298.3,0.46,0.47,2017-01-01,0255,N,VIIRS,n,1,274.7,2.9,2
42.74253,1.21904,305,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,269.4,1.3,0
42.74353,1.21585,299,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,270,1.3,0
42.75068,1.21458,311.3,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,272.7,5.3,0
42.75681,1.21656,350.2,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,273.6,5.3,0
42.76079,1.22539,299.9,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,266.6,2.6,0
42.76311,1.21797,341.9,0.51,0.66,2017-01-01,0255,N,VIIRS,n,1,272.8,8.5,0
43.03624,-6.54456,300,0.44,0.46,2017-01-01,0255,N,VIIRS,n,1,272,8.9,0
43.03526,-6.54035,334.3,0.44,0.46,2017-01-01,0255,N,VIIRS,n,1,273,8.9,0
43.03941,-6.53882,332,0.44,0.46,2017-01-01,0255,N,VIIRS,n,1,280.5,8.9,0
43.04042,-6.54316,339.1,0.44,0.46,2017-01-01,0255,N,VIIRS,n,1,274.1,8.9,0
43.01926,-6.03508,333.3,0.46,0.47,2017-01-01,0255,N,VIIRS,n,1,270,3.5,0
43.02333,-6.03272,313,0.46,0.47,2017-01-01,0255,N,VIIRS,n,1,270.8,3.5,0
41.31298,1.66095,298.9,0.59,0.7,2017-01-01,0255,N,VIIRS,n,1,275.8,1.4,2
41.31279,1.66284,306.1,0.59,0.7,2017-01-01,0255,N,VIIRS,n,1,276.5,1.4,2
43.52486,-5.73012,317.4,0.46,0.47,2017-01-01,0255,N,VIIRS,n,1,274.7,2.9,2
43.52621,-5.73578,338.9,0.46,0.47,2017-01-01,0255,N,VIIRS,n,1,277.5,2.9,2
43.53045,-5.73409,301.4,0.46,0.47,2017-01-01,0255,N,VIIRS,n,1,274.6,2.9,2
42.15344,-6.74758,301.6,0.45,0.47,2017-01-01,0256,N,VIIRS,n,1,268,1.2,0
42.39122,-6.75066,324.7,0.44,0.46,2017-01-01,0256,N,VIIRS,n,1,270.8,2.7,0
42.37979,-6.58525,336.2,0.45,0.47,2017-01-01,0256,N,VIIRS,n,1,272.1,8.5,0
42.38111,-6.59092,340.9,0.45,0.47,2017-01-01,0256,N,VIIRS,n,1,277.7,18.2,0
42.38397,-6.5836,299.7,0.45,0.47,2017-01-01,0256,N,VIIRS,n,1,271.9,1.4,0
42.38551,-6.59022,348.6,0.45,0.47,2017-01-01,0256,N,VIIRS,n,1,274.5,10.2,0
42.76628,-6.86328,299.1,0.43,0.46,2017-01-01,0256,N,VIIRS,n,1,271,2.7,0
41.1953,-4.43944,299.9,0.61,0.53,2017-01-01,0256,N,VIIRS,n,1,266.3,1.8,0
42.14235,-6.84643,298.7,0.44,0.46,2017-01-01,0256,N,VIIRS,n,1,263.5,0.5,0
42.77062,-6.86277,339.8,0.43,0.46,2017-01-01,0256,N,VIIRS,n,1,272.4,2.7,0
40.1691,-5.9195,304.5,0.55,0.51,2017-01-01,0256,N,VIIRS,n,1,270.4,1.2,0
40.17241,-5.91271,309.9,0.55,0.51,2017-01-01,0256,N,VIIRS,n,1,273.8,2.4,0
40.17402,-5.91918,301.6,0.55,0.51,2017-01-01,0256,N,VIIRS,n,1,273.9,1.8,0
40.72635,-6.90705,295.2,0.48,0.48,2017-01-01,0256,N,VIIRS,n,1,270.3,0.8,0
40.38287,-4.25146,299.4,0.33,0.55,2017-01-01,0256,N,VIIRS,n,1,268.2,0.4,0
42.00122,-8.58273,298.3,0.56,0.43,2017-01-01,0256,N,VIIRS,n,1,275.2,0.9,0
39.7337,3.11323,341.2,0.39,0.36,2017-01-01,1238,N,VIIRS,n,1,287.2,4.3,0
39.50006,2.83269,345.5,0.4,0.37,2017-01-01,1238,N,VIIRS,n,1,286.8,2.5,0
39.42293,2.90018,346.6,0.4,0.37,2017-01-01,1238,N,VIIRS,n,1,289.8,8.3,0
42.98394,-0.87408,328.6,0.46,0.39,2017-01-01,1239,N,VIIRS,n,1,280.2,5.7,0
43.52781,-5.72903,338.3,0.47,0.48,2017-01-01,1239,N,VIIRS,n,1,286.6,9.6,2
43.23434,-5.60859,338.3,0.47,0.48,2017-01-01,1239,N,VIIRS,n,1,282.7,3.6,0
43.02013,-6.03798,328.1,0.5,0.49,2017-01-01,1239,N,VIIRS,n,1,285.5,3.6,0
42.91209,-5.82255,344.6,0.49,0.49,2017-01-01,1239,N,VIIRS,n,1,283.8,6.5,0
42.88236,-5.08606,337.9,0.45,0.47,2017-01-01,1239,N,VIIRS,n,1,280.7,9,0
42.87801,-5.08506,367,0.45,0.47,2017-01-01,1239,N,VIIRS,l,1,286.7,16.1,0
43.18011,-3.71607,338.5,0.39,0.44,2017-01-01,1239,N,VIIRS,n,1,288.1,4.1,0
42.23989,-7.2245,329.9,0.6,0.53,2017-01-01,1239,N,VIIRS,n,1,283.5,3.8,0
42.38549,-6.5929,340.2,0.55,0.51,2017-01-01,1239,N,VIIRS,n,1,289.9,10.6,0
42.38381,-6.59134,339.2,0.55,0.51,2017-01-01,1239,N,VIIRS,n,1,290.5,11.7,0
41.84026,-7.89049,367,0.33,0.55,2017-01-01,1239,N,VIIRS,l,1,288.3,17.3,0
41.83921,-7.89447,336.7,0.33,0.55,2017-01-01,1239,N,VIIRS,n,1,281.5,6.5,0
42.98046,-0.98937,351.8,0.46,0.39,2017-01-01,1239,N,VIIRS,n,1,286.3,10.8,0
43.01181,-0.82659,347.5,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,286,13.3,0
43.00708,-0.83173,337,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,287.7,6.3,0
43.00822,-0.82576,330.4,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,291.8,4.7,0
43.00936,-0.81986,327.3,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,287.7,4.7,0
43.00329,-0.8125,325.2,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,284.2,10.2,0
43.00443,-0.80657,355.7,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,292.3,10.2,0
42.98837,-0.87059,328.7,0.46,0.39,2017-01-01,1239,N,VIIRS,n,1,279.6,2.9,0
42.98194,-0.8845,346.9,0.46,0.39,2017-01-01,1239,N,VIIRS,n,1,288.1,9.2,0
42.98297,-0.87915,332,0.46,0.39,2017-01-01,1239,N,VIIRS,n,1,279,9.2,0
42.94326,-0.627,329.7,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,284.8,9.6,0
42.9388,-0.63093,355.3,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,291.5,9.6,0
42.93973,-0.62603,352.4,0.45,0.39,2017-01-01,1239,N,VIIRS,n,1,288.7,9.6,0
42.74351,1.21789,333.1,0.4,0.37,2017-01-01,1239,N,VIIRS,n,1,285.8,5.6,0
41.8561,-7.83835,367,0.45,0.63,2017-01-01,1419,N,VIIRS,h,1,290.8,30.4,0
41.79465,-7.62739,335.2,0.46,0.63,2017-01-01,1419,N,VIIRS,n,1,281.9,4.9,0
41.79484,-7.62147,342.1,0.46,0.63,2017-01-01,1419,N,VIIRS,n,1,282.3,4.9,0
42.63826,-6.96788,348.3,0.5,0.66,2017-01-01,1420,N,VIIRS,n,1,280.7,8.4,0
42.63848,-6.95906,328.7,0.5,0.66,2017-01-01,1420,N,VIIRS,n,1,278.9,8.4,0
42.6099,-6.85597,329.8,0.51,0.66,2017-01-01,1420,N,VIIRS,n,1,277,4.9,0
42.00372,-6.95739,337.8,0.5,0.66,2017-01-01,1420,N,VIIRS,n,1,282.7,4.4,0
42.64445,-6.96715,342.8,0.5,0.66,2017-01-01,1420,N,VIIRS,n,1,276.8,8.4,0
42.18638,-6.9682,347.2,0.5,0.66,2017-01-01,1420,N,VIIRS,n,1,285.6,21.5,0
42.18071,-6.96698,333.2,0.5,0.66,2017-01-01,1420,N,VIIRS,n,1,280.6,16.4,0
42.88031,-5.08383,325.6,0.63,0.72,2017-01-01,1420,N,VIIRS,n,1,282.3,4.3,0
42.18651,-6.96265,367,0.5,0.66,2017-01-01,1420,N,VIIRS,l,1,279.9,21.5,0
42.24064,-7.23025,332.8,0.48,0.65,2017-01-01,1420,N,VIIRS,n,1,282.5,3.7,0
42.37934,-6.59028,367,0.52,0.67,2017-01-01,1420,N,VIIRS,h,1,292.3,12.5,0
42.3857,-6.58637,337,0.52,0.67,2017-01-01,1420,N,VIIRS,n,1,286.4,7.1,0
42.38552,-6.59347,354.2,0.52,0.67,2017-01-01,1420,N,VIIRS,n,1,286.4,7.1,0
42.38305,-6.59064,367,0.52,0.67,2017-01-01,1420,N,VIIRS,h,1,293.5,23.1,0
