,acq_date,latitude,longitude,provincias
104,2018-01-31,42.2313,-6.3706,León
105,2018-01-31,40.6599,-6.6015,Comarca de Ciudad Rodrigo
106,2018-01-31,43.5248,-5.7374,Asturias
107,2018-02-02,39.0421,-7.1823,Arronches
108,2018-02-02,38.4125,-6.4646,Zafra - Río Bodión
109,2018-02-02,38.7548,-6.9613,Tierra de Badajoz
110,2018-02-02,38.9439,-2.0458,Albacete
111,2018-02-02,38.9458,-2.0341,Albacete
112,2018-02-05,41.8861,-6.6770000000000005,Bragança
113,2018-02-05,41.8938,-6.6921,Bragança
114,2018-02-05,41.8954,-6.6792,Bragança
115,2018-02-05,41.8845,-6.6901,Bragança
116,2018-02-06,42.007,-4.0974,Palencia
117,2018-02-06,40.7517,-6.9882,Pinhel
118,2018-02-07,38.9757,-5.9681,Badajoz
119,2018-02-07,38.9846,-5.9704,Badajoz
120,2018-02-07,38.7545,-6.9672,Badajoz
121,2018-02-08,37.3295,-6.2473,Sevilla
122,2018-02-08,37.3276,-6.2274,Sevilla
123,2018-02-08,37.3392,-6.2258,Sevilla
124,2018-02-09,37.328,-3.1729,Comarca de Guadix
125,2018-02-09,39.9131,-4.1135,Comarca de la Sagra
126,2018-02-10,40.9787,-5.5431,Las Villas
127,2018-02-10,41.583999999999996,-6.443,Vimioso
128,2018-02-11,38.7134,-5.5087,Badajoz
129,2018-02-11,37.2426,-6.4506,El Condado
130,2018-02-11,37.2408,-6.4393,El Condado
131,2018-02-11,37.4959,-7.2524,El Andévalo
132,2018-02-11,37.6052,-4.7613,Cordova
133,2018-02-11,36.8069,-4.6037,Malaga
134,2018-02-11,41.5953,0.2966,Bajo Cinca / Baix Cinca
135,2018-02-12,40.1011,-5.6209,Cáceres
136,2018-02-13,38.494,-4.7896,Cordova
137,2018-02-14,37.4279,-2.6917,Comarca de Baza
138,2018-02-14,37.4264,-2.7054,Comarca de Baza
139,2018-02-14,38.8888,-6.0715,Badajoz
140,2018-02-14,38.8904,-6.06,Badajoz
141,2018-02-15,39.8794,-0.1955,Castelló / Castellón
142,2018-02-15,41.2078,-0.0473,Zaragoza
143,2018-02-15,41.1762,1.2316,Tarragona
144,2018-02-15,41.1852,1.2341,Tarragonès
145,2018-02-15,41.2972,1.3409,Tarragona
146,2018-02-15,41.5774,0.3261,Bajo Cinca / Baix Cinca
147,2018-02-15,41.5557,0.4683,Lleida
148,2018-02-15,39.6676,-0.8216,Valencia
149,2018-02-15,39.8812,-0.2071,Castelló / Castellón
150,2018-02-15,37.2207,-7.2265,Costa Occidental
151,2018-02-15,37.2546,-5.5574,Sevilla
152,2018-02-15,37.201,-3.8453,Comarca de la Vega de Granada
153,2018-02-15,37.8263,-0.8708,Campo de Cartagena
154,2018-02-15,39.0446,-0.5487,Valencia
155,2018-02-15,41.1822,1.2312,Tarragona
156,2018-02-15,41.178999999999995,1.2147,Tarragona
157,2018-02-16,37.4307,-1.7023,Alto Guadalentín
158,2018-02-16,37.4176,-1.7137,Almeria
159,2018-02-16,37.416,-1.7069,Almeria
160,2018-02-16,37.6037,-4.7715,Cordova
161,2018-02-16,37.2011,-3.8451,Comarca de la Vega de Granada
162,2018-02-16,37.4275,-1.7127,Alto Guadalentín
163,2018-02-16,39.0668,-5.6514,Badajoz
164,2018-02-16,38.719,-5.5076,Badajoz
165,2018-02-16,39.0145,-6.9464,Tierra de Badajoz
166,2018-02-18,41.4715,-5.8196,Zamora
167,2018-02-18,39.1003,-6.324,Badajoz
168,2018-02-18,39.0556,-5.8881,Badajoz
169,2018-02-18,39.0452,-5.7697,Badajoz
170,2018-02-18,39.0508,-5.7759,Badajoz
171,2018-02-18,39.1516,-5.4803,Badajoz
172,2018-02-18,38.8281,-6.247999999999999,Badajoz
173,2018-02-18,38.8457,-6.2954,Badajoz
174,2018-02-18,38.8588,-6.1677,Badajoz
175,2018-02-18,38.861,-6.1802,Badajoz
176,2018-02-18,38.8302,-6.2605,Badajoz
177,2018-02-18,40.2202,-1.1694,Teruel
178,2018-02-18,41.8368,-1.2379,Ribera Alta del Ebro
179,2018-02-19,40.3394,0.1342,Castelló / Castellón
180,2018-02-19,39.6383,-0.2714,Valencia
181,2018-02-19,40.3411,0.1164,Castellon
182,2018-02-20,42.0842,-6.1375,Zamora
183,2018-02-20,42.0752,-6.1396,Zamora
184,2018-02-20,38.2158,-5.4793,Cordova
185,2018-02-20,38.17,-4.4069,Cordova
186,2018-02-20,38.1718,-4.4188,Cordova
187,2018-02-20,38.9013,-6.9755,Badajoz
188,2018-02-20,38.711,-4.8447,Valle de Alcudia
189,2018-02-20,39.1456,-5.6409,Cáceres
190,2018-02-20,39.0347,-0.5943,Valencia
191,2018-02-20,37.4502,-1.7726,Alto Guadalentín
192,2018-02-20,39.3156,-5.5405,Cáceres
193,2018-02-20,40.056,-4.6214,Toledo
194,2018-02-20,39.3765,-7.1572,Caceres
195,2018-02-20,37.3566,-6.6713,El Condado
196,2018-02-20,37.5232,-5.6694,Sevilla
197,2018-02-20,39.0957,-5.7728,Badajoz
198,2018-02-20,39.1596,-5.6659,Cáceres
199,2018-02-20,39.0965,-5.7659,Badajoz
200,2018-02-21,42.53,-6.9081,El Bierzo
201,2018-02-21,42.5289,-6.9134,El Bierzo
202,2018-02-21,42.5235,-6.8889,El Bierzo
203,2018-02-21,41.9565,-8.4304,Arcos de Valdevez
204,2018-02-21,36.7372,-5.9854,Cádiz
205,2018-02-21,37.2061,-3.9968,Comarca de Loja
206,2018-02-21,37.216,-3.9985,Comarca de Loja
207,2018-02-21,38.8621,-6.1692,Badajoz
208,2018-02-21,40.8547,-6.8361,Figueira de Castelo Rodrigo
209,2018-02-21,40.0557,-5.8056,Cáceres
210,2018-02-21,40.0572,-5.7926,Caceres
211,2018-02-21,40.048,-5.0905,Toledo
212,2018-02-21,39.9841,-5.5522,Cáceres
213,2018-02-21,39.1949,-5.4536,Cáceres
214,2018-02-21,39.1964,-5.4406,Cáceres
215,2018-02-21,39.1496,-5.6378,Cáceres
216,2018-02-21,39.1354,-5.5955,Badajoz
217,2018-02-21,38.9243,-6.8282,Tierra de Badajoz
218,2018-02-21,38.8503,-6.6972,Badajoz
219,2018-02-21,41.9959,-5.6593,Zamora
220,2018-02-21,42.0056,-5.6613,Zamora
221,2018-02-21,42.0092,-5.6544,Zamora
222,2018-02-21,41.7405,-8.211,Braga
223,2018-02-21,42.5239,-6.9049,El Bierzo
224,2018-02-21,42.5223,-6.9179,Leon
225,2018-02-22,41.3288,-1.7021,Zaragoza
226,2018-02-22,41.968999999999994,-0.4354,Los Monegros
227,2018-02-22,41.9671,-0.4233,Los Monegros
228,2018-02-22,41.3002,-0.726,Zaragoza
229,2018-02-22,40.6508,0.6322,Tarragona
230,2018-02-22,40.9496,-1.5147,Teruel
231,2018-02-22,37.5206,-6.0367,Sevilla
232,2018-02-22,39.8067,-7.3186,Castelo Branco
233,2018-02-22,39.299,-6.5693,Cáceres
234,2018-02-22,38.7396,-4.8468,Valle de Alcudia
235,2018-02-22,38.9163,-6.4114,Badajoz
236,2018-02-22,37.209,-3.9869,Comarca de Loja
237,2018-02-22,38.2085,-1.3399,Vega Alta del Segura
238,2018-02-22,37.2106,-3.9982,Comarca de Loja
239,2018-02-22,36.3216,-5.3982,Campo de Gibraltar
240,2018-02-22,42.585,2.9007,Elne
241,2018-02-22,42.586999999999996,2.9131,Elne
242,2018-02-22,41.9693,-0.4407,Huesca
243,2018-02-22,41.9724,-0.4244,Los Monegros
244,2018-02-22,41.958999999999996,-0.4372,Huesca
245,2018-02-22,41.9622,-0.4209,Los Monegros
246,2018-02-22,42.2179,3.0454,Upper Empordà
247,2018-02-22,41.3278,-1.7108,Zaragoza
248,2018-02-22,42.1221,-1.9144,Rioja
249,2018-02-22,42.1234,-1.9080000000000001,La Rioja
250,2018-02-23,41.8624,-7.2142,Chaves
251,2018-02-23,40.194,-5.8696,Caceres
252,2018-02-23,37.5915,-7.0934,El Andévalo
253,2018-02-23,41.3199,-1.7245,Zaragoza
254,2018-02-23,42.1364,-0.3682,Huesca
255,2018-02-23,41.3183,-1.7397,Zaragoza
256,2018-02-23,40.6195,-6.9498,Almeida
257,2018-02-23,40.6214,-6.938,Almeida
258,2018-02-23,41.0095,-4.1516,Segovia
259,2018-02-23,40.195,-5.9011,Cáceres
260,2018-02-23,40.1967,-5.8896,Cáceres
261,2018-02-23,40.1911,-4.6282,Toledo
262,2018-02-23,40.6617,0.7788,Tarragona
263,2018-02-23,40.236999999999995,-0.6331,Teruel
264,2018-02-23,40.2416,-0.6275,Gúdar-Javalambre
265,2018-02-23,38.8989,-6.5122,Badajoz
266,2018-02-23,38.865,-6.1964,Badajoz
267,2018-02-23,38.8667,-6.1849,Badajoz
268,2018-02-23,42.0073,-8.5417,Valença
269,2018-02-23,42.698,-6.4223,El Bierzo
270,2018-02-23,42.0052,-8.5546,Valença
271,2018-02-23,41.9961,-8.5512,Valença
272,2018-02-23,42.6963,-6.4343,El Bierzo
273,2018-02-24,43.5387,-5.8252,Asturias
274,2018-02-24,43.5357,-5.8317,Asturias
275,2018-02-24,42.2673,-1.7548,Navarre
276,2018-02-24,41.6125,-1.2871,Valdejalón
277,2018-02-24,41.9461,-1.2921,Cinco Villas
278,2018-02-24,42.043,-1.1006,Cinco Villas
279,2018-02-24,42.0447,-1.114,Cinco Villas
280,2018-02-24,42.049,-1.1064,Cinco Villas
281,2018-02-24,41.1467,-6.7865,Braganza District
282,2018-02-24,41.1485,-6.8088,Braganza District
283,2018-02-24,40.3788,0.3908,Castellon
